йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="05";="жаялай/хгйес лг лекг";1;="2237";="суметаияислос жаялайопоиым кибадеиас сум пе";="2261026581";1074,53;0,25;10,72;10,72;850,09;79,11;212,33;19,76;12,11;1,13;0,00;0,00;19,01;1,77;
="05";="жаялай/хгйес лг лекг";2;="0885";="сужа еубоиас";="2221076461";8947,06;2,12;89,28;100,00;8724,23;97,51;222,83;2,49;0,00;0,00;0,00;0,00;161,47;1,80;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="90";="жаялай/хгйес хуц/йес";1;="4000";="су.жа.й  сум.пе";="2810-302000";20049,05;4,74;100,00;100,00;18548,25;92,51;1500,80;7,49;0,00;0,00;0,00;0,00;-6,20;-0,03;

йатгцояиа;пеяицяажг;тфияос;% етаияиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос
="01";="лекос";25533,51;6,04;6,04;24361,16;95,41;1172,35;4,59;0,00;0,00;0,00;0,00;1248,10;4,89
="02";="лг лекос-жаялайеио";367025,57;86,83;92,87;340836,46;92,86;28163,16;7,67;850,88;0,23;-2824,93;-0,77;16827,13;4,58
="04";="диажояои лг лекг";78,79;0,02;92,89;0,00;0,00;0,00;0,00;0,00;0,00;78,79;100,00;78,79;100,00
="05";="жаялай/хгйес лг лекг";10021,59;2,37;95,26;9574,32;95,54;435,16;4,34;12,11;0,12;0,00;0,00;180,48;1,80
="90";="жаялай/хгйес хуц/йес";20049,05;4,74;100,00;18548,25;92,51;1500,80;7,49;0,00;0,00;0,00;0,00;-6,20;-0,03
